CVE_ID,CVSS,CWE,VUL_FUNs
CVE-2021-22569,4.3,0,"com.google.protobuf.UnknownFieldSet$Builder:addField(int,com.google.protobuf.UnknownFieldSet$Field);com.google.protobuf.UnknownFieldSet$Builder:mergeFrom(com.google.protobuf.UnknownFieldSet);com.google.protobuf.UnknownFieldSet:parseFrom(com.google.protobuf.ByteString);com.google.protobuf.UnknownFieldSet$Builder:mergeDelimitedFrom(java.io.InputStream);com.google.protobuf.UnknownFieldSet$Field:writeAsMessageSetExtensionTo(int,com.google.protobuf.CodedOutputStream);com.google.protobuf.UnknownFieldSet$Field:getSerializedSizeAsMessageSetExtension(int);com.google.protobuf.UnknownFieldSet$Builder:reinitialize();com.google.protobuf.UnknownFieldSet$Builder:asMap();com.google.protobuf.UnknownFieldSet:toByteArray();com.google.protobuf.UnknownFieldSet:writeAsMessageSetTo(com.google.protobuf.CodedOutputStream);com.google.protobuf.UnknownFieldSet$Builder:clone();com.google.protobuf.UnknownFieldSet:equals(java.lang.Object);com.google.protobuf.UnknownFieldSet$Field:toByteString(int);com.google.protobuf.UnknownFieldSet$Field:equals(java.lang.Object);com.google.protobuf.UnknownFieldSet:getSerializedSize();com.google.protobuf.UnknownFieldSet:<init>(java.util.Map,java.util.Map);com.google.protobuf.UnknownFieldSet$Field:getSerializedSize(int);com.google.protobuf.UnknownFieldSet:parseFrom(com.google.protobuf.CodedInputStream);com.google.protobuf.UnknownFieldSet$Builder:build();com.google.protobuf.UnknownFieldSet:asMap();com.google.protobuf.UnknownFieldSet:writeTo(java.io.OutputStream);com.google.protobuf.UnknownFieldSet$Builder:mergeLengthDelimitedField(int,com.google.protobuf.ByteString);com.google.protobuf.UnknownFieldSet$Builder:mergeFrom(byte[]);com.google.protobuf.UnknownFieldSet:hasField(int);com.google.protobuf.UnknownFieldSet$Field:newBuilder(com.google.protobuf.UnknownFieldSet$Field);com.google.protobuf.UnknownFieldSet:parseFrom(java.io.InputStream);com.google.protobuf.UnknownFieldSet$Builder:hasField(int);com.google.protobuf.UnknownFieldSet$Field:writeTo(int,com.google.protobuf.CodedOutputStream);com.google.protobuf.UnknownFieldSet$Builder:clear();com.google.protobuf.UnknownFieldSet$Builder:mergeVarintField(int,int);com.google.protobuf.UnknownFieldSet$Field:writeAsMessageSetExtensionTo(int,com.google.protobuf.Writer);com.google.protobuf.UnknownFieldSet$Builder:clearField(int);com.google.protobuf.UnknownFieldSet:getSerializedSizeAsMessageSet();com.google.protobuf.UnknownFieldSet$Builder:mergeField(int,com.google.protobuf.UnknownFieldSet$Field);com.google.protobuf.UnknownFieldSet:writeDelimitedTo(java.io.OutputStream);com.google.protobuf.UnknownFieldSet$Field:writeTo(int,com.google.protobuf.Writer);com.google.protobuf.UnknownFieldSet:<init>();com.google.protobuf.UnknownFieldSet:parseFrom(byte[]);com.google.protobuf.UnknownFieldSet$Builder:mergeFrom(com.google.protobuf.ByteString);com.google.protobuf.UnknownFieldSet:newBuilder(com.google.protobuf.UnknownFieldSet);com.google.protobuf.UnknownFieldSet:writeAsMessageSetTo(com.google.protobuf.Writer);com.google.protobuf.UnknownFieldSet$Builder:mergeFrom(java.io.InputStream);com.google.protobuf.UnknownFieldSet:writeTo(com.google.protobuf.CodedOutputStream);com.google.protobuf.UnknownFieldSet$Builder:mergeFrom(com.google.protobuf.CodedInputStream);com.google.protobuf.UnknownFieldSet$Builder:mergeFieldFrom(int,com.google.protobuf.CodedInputStream);com.google.protobuf.UnknownFieldSet:writeTo(com.google.protobuf.Writer);com.google.protobuf.UnknownFieldSet:getField(int);com.google.protobuf.UnknownFieldSet$Builder:mergeFrom(byte[],int,int);com.google.protobuf.UnknownFieldSet$Builder:getFieldBuilder(int);com.google.protobuf.UnknownFieldSet$Builder:create();com.google.protobuf.UnknownFieldSet:hashCode();com.google.protobuf.UnknownFieldSet:toByteString()"
CVE-2017-3589,2.1,0,"com.mysql.jdbc.ConnectionImpl:recachePreparedStatement(com.mysql.jdbc.ServerPreparedStatement);com.mysql.jdbc.ConnectionImpl:prepareStatement(java.lang.String,int,int);com.mysql.jdbc.ConnectionImpl:decachePreparedStatement(com.mysql.jdbc.ServerPreparedStatement)"
CVE-2016-5001,2.1,CWE-200,"org.apache.hadoop.hdfs.server.datanode.DNConf:<init>(org.apache.hadoop.conf.Configuration);org.apache.hadoop.hdfs.server.datanode.DataXceiver:replaceBlock(org.apache.hadoop.hdfs.protocol.ExtendedBlock,org.apache.hadoop.hdfs.StorageType,org.apache.hadoop.security.token.Token,java.lang.String,org.apache.hadoop.hdfs.protocol.DatanodeInfo);org.apache.hadoop.hdfs.server.datanode.DataXceiver:writeBlock(org.apache.hadoop.hdfs.protocol.ExtendedBlock,org.apache.hadoop.hdfs.StorageType,org.apache.hadoop.security.token.Token,java.lang.String,org.apache.hadoop.hdfs.protocol.DatanodeInfo[],org.apache.hadoop.hdfs.StorageType[],org.apache.hadoop.hdfs.protocol.DatanodeInfo,org.apache.hadoop.hdfs.protocol.datatransfer.BlockConstructionStage,int,long,long,long,org.apache.hadoop.util.DataChecksum,org.apache.hadoop.hdfs.server.datanode.CachingStrategy,boolean);org.apache.hadoop.hdfs.server.datanode.DataXceiver:copyBlock(org.apache.hadoop.hdfs.protocol.ExtendedBlock,org.apache.hadoop.security.token.Token);org.apache.hadoop.hdfs.server.datanode.DataNode:getDNRegistrationForBP(java.lang.String);org.apache.hadoop.hdfs.server.datanode.DataNode:requestShortCircuitFdsForRead(org.apache.hadoop.hdfs.protocol.ExtendedBlock,org.apache.hadoop.security.token.Token,int);org.apache.hadoop.hdfs.server.datanode.DataNode:checkReadAccess(org.apache.hadoop.hdfs.protocol.ExtendedBlock);org.apache.hadoop.hdfs.server.datanode.DataXceiver:transferBlock(org.apache.hadoop.hdfs.protocol.ExtendedBlock,org.apache.hadoop.security.token.Token,java.lang.String,org.apache.hadoop.hdfs.protocol.DatanodeInfo[],org.apache.hadoop.hdfs.StorageType[]);org.apache.hadoop.hdfs.server.datanode.DataXceiver:checkAccess(java.io.OutputStream,boolean,org.apache.hadoop.hdfs.protocol.ExtendedBlock,org.apache.hadoop.security.token.Token,org.apache.hadoop.hdfs.protocol.datatransfer.Op,org.apache.hadoop.hdfs.security.token.block.BlockTokenSecretManager$AccessMode);org.apache.hadoop.hdfs.server.datanode.DataXceiver:blockChecksum(org.apache.hadoop.hdfs.protocol.ExtendedBlock,org.apache.hadoop.security.token.Token);org.apache.hadoop.hdfs.server.datanode.DataXceiver:readBlock(org.apache.hadoop.hdfs.protocol.ExtendedBlock,org.apache.hadoop.security.token.Token,java.lang.String,long,long,boolean,org.apache.hadoop.hdfs.server.datanode.CachingStrategy);org.apache.hadoop.hdfs.DFSInputStream:readBlockLength(org.apache.hadoop.hdfs.protocol.LocatedBlock)"
CVE-2014-4172,7.5,CWE-74,"org.jasig.cas.client.validation.Cas20ServiceTicketValidator:populateUrlAttributeMap(java.util.Map);org.jasig.cas.client.validation.AbstractUrlBasedTicketValidator:constructValidationUrl(java.lang.String,java.lang.String)"
CVE-2021-27906,4.3,0,org.apache.pdfbox.cos.COSArray:indexOf(org.apache.pdfbox.cos.COSBase)
CVE-2021-43797,4.3,CWE-444,"io.netty.handler.codec.http.HttpObjectDecoder:findNonWhitespace(io.netty.util.internal.AppendableCharSequence,int,boolean);io.netty.handler.codec.http.HttpObjectDecoder:splitHeader(io.netty.util.internal.AppendableCharSequence);io.netty.handler.codec.http.DefaultHttpHeaders:validateHeaderNameElement(byte);io.netty.handler.codec.http.DefaultHttpHeaders:validateHeaderNameElement(char)"
CVE-2019-0201,4.3,CWE-862,org.apache.zookeeper.server.FinalRequestProcessor:processRequest(org.apache.zookeeper.server.Request)
CVE-2016-1000339,5.0,CWE-310,"org.bouncycastle.jcajce.provider.symmetric.AES$CBC:<init>();org.bouncycastle.jcajce.provider.symmetric.AES$PBEWithSHA1AESCBC128:<init>();org.bouncycastle.jcajce.provider.symmetric.AES$Poly1305:<init>();org.bouncycastle.jcajce.provider.symmetric.AES$CFB:<init>();org.bouncycastle.jcajce.provider.asymmetric.dh.KeyFactorySpi:engineGeneratePublic(java.security.spec.KeySpec);org.bouncycastle.jcajce.provider.symmetric.AES$AESCMAC:<init>();org.bouncycastle.jcajce.provider.symmetric.AES$ECB:<init>();org.bouncycastle.jcajce.provider.symmetric.AES$GCM:<init>();org.bouncycastle.jcajce.provider.symmetric.AES$RFC3211Wrap:<init>();org.bouncycastle.crypto.engines.AESEngine:encryptBlock(int[][]);org.bouncycastle.jcajce.provider.symmetric.AES$PBEWithSHA1AESCBC256:<init>();org.bouncycastle.jcajce.provider.symmetric.AES$CCM:<init>();org.bouncycastle.jcajce.provider.symmetric.AES$AESGMAC:<init>();org.bouncycastle.jcajce.provider.asymmetric.ec.IESCipher$ECIESwithAESCBC:<init>();org.bouncycastle.jcajce.provider.asymmetric.dh.BCDHPublicKey:<init>(java.math.BigInteger,javax.crypto.spec.DHParameterSpec);org.bouncycastle.jcajce.provider.asymmetric.util.DHUtil:generatePublicKeyParameter(java.security.PublicKey);org.bouncycastle.jcajce.provider.symmetric.AES$PBEWithSHA256AESCBC256:<init>();org.bouncycastle.jcajce.provider.symmetric.AES$OFB:<init>();org.bouncycastle.jcajce.provider.symmetric.AES$PBEWithSHA256AESCBC192:<init>();org.bouncycastle.jcajce.provider.symmetric.AES$PBEWithAESCBC:<init>();org.bouncycastle.jcajce.provider.asymmetric.dh.BCDHPublicKey:<init>(org.bouncycastle.crypto.params.DHPublicKeyParameters);org.bouncycastle.jcajce.provider.asymmetric.dh.BCDHPublicKey:<init>(javax.crypto.interfaces.DHPublicKey);org.bouncycastle.jcajce.provider.asymmetric.dh.BCDHPublicKey:<init>(org.bouncycastle.asn1.x509.SubjectPublicKeyInfo);org.bouncycastle.jcajce.provider.symmetric.AES$PBEWithSHA1AESCBC192:<init>();org.bouncycastle.jcajce.provider.symmetric.AES$PBEWithSHA256AESCBC128:<init>();org.bouncycastle.crypto.engines.AESEngine:init(boolean,org.bouncycastle.crypto.CipherParameters);org.bouncycastle.jcajce.provider.asymmetric.dh.BCDHPublicKey:<init>(javax.crypto.spec.DHPublicKeySpec);org.bouncycastle.jcajce.provider.symmetric.AES$RFC5649Wrap:<init>();org.bouncycastle.crypto.engines.AESEngine:decryptBlock(int[][])"
CVE-2011-1498,4.3,CWE-200,"org.apache.http.client.protocol.RequestProxyAuthentication:process(org.apache.http.HttpRequest,org.apache.http.protocol.HttpContext)"
CVE-2020-1951,4.3,CWE-835,"org.apache.tika.parser.image.PSDParser$ResourceBlock:<init>(java.io.InputStream);org.apache.tika.parser.image.PSDParser:parse(java.io.InputStream,org.xml.sax.ContentHandler,org.apache.tika.metadata.Metadata,org.apache.tika.parser.ParseContext)"
CVE-2021-21343,5.0,CWE-502,"com.thoughtworks.xstream.XStream:unmarshal(com.thoughtworks.xstream.io.HierarchicalStreamReader,java.lang.Object,com.thoughtworks.xstream.converters.DataHolder);com.thoughtworks.xstream.XStream:setupMappers()"
CVE-2022-26336,4.3,CWE-770,org.apache.poi.hmef.attribute.MAPIAttribute:create(org.apache.poi.hmef.attribute.TNEFAttribute)
CVE-2017-12629,7.5,CWE-611,org.apache.lucene.queryparser.xml.CoreParser:parseXML(java.io.InputStream)
CVE-2017-9735,5.0,CWE-203,org.eclipse.jetty.util.security.Password:equals(java.lang.Object);org.eclipse.jetty.util.security.Credential$MD5:check(java.lang.Object);org.eclipse.jetty.util.security.Credential$Crypt:check(java.lang.Object);org.eclipse.jetty.util.security.Password:check(java.lang.Object)
CVE-2020-13941,6.5,CWE-20,"org.apache.solr.handler.admin.MergeIndexesOp:execute(org.apache.solr.handler.admin.CoreAdminHandler$CallInfo);org.apache.solr.handler.SnapShooter:initialize(org.apache.solr.core.backup.repository.BackupRepository,org.apache.solr.core.SolrCore,java.net.URI,java.lang.String,java.lang.String);org.apache.solr.handler.ReplicationHandler:doSnapShoot(org.apache.solr.common.params.SolrParams,org.apache.solr.response.SolrQueryResponse,org.apache.solr.request.SolrQueryRequest);org.apache.solr.handler.ReplicationHandler:restore(org.apache.solr.common.params.SolrParams,org.apache.solr.response.SolrQueryResponse,org.apache.solr.request.SolrQueryRequest)"
CVE-2019-12086,5.0,CWE-502,"com.fasterxml.jackson.databind.jsontype.impl.SubTypeValidator:validateSubType(com.fasterxml.jackson.databind.DeserializationContext,com.fasterxml.jackson.databind.JavaType)"
CVE-2020-17523,9.0,CWE-287,"org.apache.shiro.util.AntPathMatcher:isPattern(java.lang.String);org.apache.shiro.util.AntPathMatcher:extractPathWithinPattern(java.lang.String,java.lang.String);org.apache.shiro.util.AntPathMatcher:doMatch(java.lang.String,java.lang.String,boolean)"
CVE-2018-11039,4.3,0,"org.springframework.web.filter.HiddenHttpMethodFilter:doFilterInternal(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,javax.servlet.FilterChain);org.springframework.web.filter.HiddenHttpMethodFilter$HttpMethodRequestWrapper:<init>(javax.servlet.http.HttpServletRequest,java.lang.String)"
CVE-2017-4995,6.8,CWE-502,org.springframework.security.jackson2.SecurityJackson2Modules:enableDefaultTyping(com.fasterxml.jackson.databind.ObjectMapper)
CVE-2019-0207,5.0,CWE-22,org.apache.tapestry5.ioc.internal.util.AbstractResource:forFile(java.lang.String)
CVE-2016-9177,5.0,CWE-22,spark.resource.ClassPathResourceHandler:getResource(java.lang.String);spark.resource.ExternalResourceHandler:getResource(java.lang.String)
CVE-2009-2901,4.3,CWE-264,"org.apache.catalina.startup.ContextConfig:fixDocBase();org.apache.catalina.loader.WebappClassLoader:setWorkDir(java.io.File);org.apache.catalina.startup.ExpandWar:expand(java.io.InputStream,java.io.File,java.lang.String);org.apache.catalina.loader.WebappClassLoader:setWorkDir(java.io.File);org.apache.catalina.startup.ExpandWar:deleteDir(java.io.File);org.apache.catalina.loader.WebappClassLoader:findResourceInternal(java.lang.String,java.lang.String);org.apache.catalina.loader.WebappClassLoader:findResourceInternal(java.lang.String,java.lang.String);org.apache.catalina.startup.HostConfig:deployWARs(java.io.File,java.lang.String[]);org.apache.catalina.startup.ExpandWar:deleteDir(java.io.File);org.apache.catalina.startup.ExpandWar:delete(java.io.File);org.apache.catalina.startup.ContextConfig:stop();org.apache.catalina.startup.HostConfig:deployWARs(java.io.File,java.lang.String[]);org.apache.catalina.startup.ExpandWar:expand(org.apache.catalina.Host,java.net.URL,java.lang.String);org.apache.catalina.startup.ContextConfig:fixDocBase();org.apache.catalina.startup.ExpandWar:delete(java.io.File);org.apache.catalina.startup.ExpandWar:expand(java.io.InputStream,java.io.File,java.lang.String);org.apache.catalina.startup.ContextConfig:stop();org.apache.catalina.startup.ExpandWar:expand(org.apache.catalina.Host,java.net.URL,java.lang.String)"
CVE-2021-21290,1.9,CWE-378,"io.netty.handler.ssl.util.SelfSignedCertificate:newSelfSignedCertificate(java.lang.String,java.security.PrivateKey,java.security.cert.X509Certificate)"
CVE-2021-3642,3.5,CWE-203,"org.wildfly.security.mechanism.scram.ScramServer:parseFinalClientMessage(org.wildfly.security.mechanism.scram.ScramInitialClientMessage,org.wildfly.security.mechanism.scram.ScramInitialServerResult,byte[]);org.wildfly.security.mechanism.scram.ScramServer:evaluateFinalClientMessage(org.wildfly.security.mechanism.scram.ScramInitialServerResult,org.wildfly.security.mechanism.scram.ScramFinalClientMessage)"
